Symbol_index_and_name: 0x00 -> 
Symbol_index_and_name: 0x00 -> 
Symbol_index_and_name: 0x00 -> 
Symbol_index_and_name: 0x1b5f -> _dl_starting_up
Symbol_index_and_name: 0x3310 -> _dl_tls_get_addr_soft
Symbol_index_and_name: 0x1570 -> __tls_get_addr
Symbol_index_and_name: 0xc28 -> _rtld_global_ro
Symbol_index_and_name: 0xb6d -> __libc_enable_secure
Symbol_index_and_name: 0x49bc -> _dl_argv
Symbol_index_and_name: 0x505c -> _rtld_global
Symbol_index_and_name: 0x24d0 -> __strspn_c1
Symbol_index_and_name: 0x3acb -> putwchar
Symbol_index_and_name: 0x4dd6 -> __gethostname_chk
Symbol_index_and_name: 0x65d -> __strspn_c2
Symbol_index_and_name: 0x20c6 -> setrpcent
Symbol_index_and_name: 0x49f3 -> __wcstod_l
Symbol_index_and_name: 0x4b39 -> __strspn_c3
Symbol_index_and_name: 0x3883 -> sched_get_priority_min
Symbol_index_and_name: 0x1b28 -> epoll_create
Symbol_index_and_name: 0x284e -> __getdomainname_chk
Symbol_index_and_name: 0x13df -> klogctl
Symbol_index_and_name: 0xc8c -> __tolower_l
Symbol_index_and_name: 0x3933 -> dprintf
Symbol_index_and_name: 0x530 -> __wcscoll_l
Symbol_index_and_name: 0x320d -> setuid
Symbol_index_and_name: 0x318 -> iswalpha
Symbol_index_and_name: 0x256f -> __gettimeofday
Symbol_index_and_name: 0x3e2d -> __internal_endnetgrent
Symbol_index_and_name: 0x4fc2 -> chroot
Symbol_index_and_name: 0x2d8 -> _IO_file_setbuf
Symbol_index_and_name: 0x3393 -> daylight
Symbol_index_and_name: 0x1d62 -> getdate
Symbol_index_and_name: 0x2ecc -> __vswprintf_chk
Symbol_index_and_name: 0xbb9 -> pthread_cond_signal
Symbol_index_and_name: 0x1e11 -> _IO_file_fopen
Symbol_index_and_name: 0xbb9 -> pthread_cond_signal
Symbol_index_and_name: 0x42b2 -> strtoull_l
Symbol_index_and_name: 0x241c -> xdr_short
Symbol_index_and_name: 0x3e6f -> _IO_padn
Symbol_index_and_name: 0x4408 -> lfind
Symbol_index_and_name: 0x16a0 -> strcasestr
Symbol_index_and_name: 0x42e4 -> __libc_fork
Symbol_index_and_name: 0x45cf -> xdr_int64_t
Symbol_index_and_name: 0x49f5 -> wcstod_l
Symbol_index_and_name: 0x3da5 -> socket
Symbol_index_and_name: 0xc51 -> key_encryptsession_pk
Symbol_index_and_name: 0x1ea4 -> argz_create
Symbol_index_and_name: 0x35e1 -> putchar_unlocked
Symbol_index_and_name: 0x7db -> xdr_pmaplist
Symbol_index_and_name: 0xefa -> __res_init
Symbol_index_and_name: 0x2981 -> __xpg_basename
Symbol_index_and_name: 0x3b09 -> __stpcpy_chk
Symbol_index_and_name: 0x325 -> getc
Symbol_index_and_name: 0x35 -> _IO_wdefault_xsputn
Symbol_index_and_name: 0x4c1 -> wcpncpy
Symbol_index_and_name: 0x127f -> mkdtemp
Symbol_index_and_name: 0x24c6 -> srand48_r
Symbol_index_and_name: 0x41ca -> sighold
Symbol_index_and_name: 0x138f -> __default_morecore
Symbol_index_and_name: 0x2151 -> __sched_getparam
Symbol_index_and_name: 0x31c3 -> iruserok
Symbol_index_and_name: 0x1f3f -> cuserid
Symbol_index_and_name: 0x21d3 -> isnan
Symbol_index_and_name: 0x307b -> setstate_r
Symbol_index_and_name: 0x35b8 -> wmemset
Symbol_index_and_name: 0x36e6 -> _IO_file_stat
Symbol_index_and_name: 0x1cbf -> argz_replace
Symbol_index_and_name: 0x4106 -> globfree64
Symbol_index_and_name: 0x339c -> argp_usage
Symbol_index_and_name: 0x39df -> _sys_nerr
Symbol_index_and_name: 0x39df -> _sys_nerr
Symbol_index_and_name: 0x39df -> _sys_nerr
Symbol_index_and_name: 0x3186 -> argz_next
Symbol_index_and_name: 0x3cb6 -> getdate_err
Symbol_index_and_name: 0x4386 -> __fork
Symbol_index_and_name: 0x43b2 -> getspnam_r
Symbol_index_and_name: 0x4e9c -> __sched_yield
Symbol_index_and_name: 0x351a -> __gmtime_r
Symbol_index_and_name: 0x40e3 -> l64a
Symbol_index_and_name: 0x4a1c -> _IO_file_attach
Symbol_index_and_name: 0x1127 -> wcsftime_l
Symbol_index_and_name: 0x24 -> gets
Symbol_index_and_name: 0x4fac -> putc_unlocked
Symbol_index_and_name: 0x2876 -> getrpcbyname
Symbol_index_and_name: 0x3d37 -> fflush
Symbol_index_and_name: 0x3946 -> _authenticate
Symbol_index_and_name: 0xbe7 -> a64l
Symbol_index_and_name: 0x1e09 -> hcreate
Symbol_index_and_name: 0x4fc9 -> strcpy
Symbol_index_and_name: 0x669 -> __libc_init_first
Symbol_index_and_name: 0xf5f -> xdr_long
Symbol_index_and_name: 0x2c1d -> shmget
Symbol_index_and_name: 0xd7e -> sigsuspend
Symbol_index_and_name: 0x3663 -> _IO_wdo_write
Symbol_index_and_name: 0x4c78 -> getw
Symbol_index_and_name: 0x22f0 -> gethostid
Symbol_index_and_name: 0x3ce0 -> flockfile
Symbol_index_and_name: 0x4bf1 -> __rawmemchr
Symbol_index_and_name: 0x2231 -> wcsncasecmp_l
Symbol_index_and_name: 0x989 -> argz_add
Symbol_index_and_name: 0x6d1 -> __backtrace_symbols
Symbol_index_and_name: 0x19b -> vasprintf
Symbol_index_and_name: 0x2549 -> _IO_un_link
Symbol_index_and_name: 0x4c9 -> __wcstombs_chk
Symbol_index_and_name: 0x925 -> _mcount
Symbol_index_and_name: 0x33f4 -> __wcstod_internal
Symbol_index_and_name: 0x3760 -> authunix_create
Symbol_index_and_name: 0x2a37 -> wmemcmp
Symbol_index_and_name: 0x351c -> gmtime_r
Symbol_index_and_name: 0x4819 -> fchmod
Symbol_index_and_name: 0x1f57 -> __printf_chk
Symbol_index_and_name: 0x2c44 -> obstack_vprintf
Symbol_index_and_name: 0x80e -> __fgetws_chk
Symbol_index_and_name: 0x25a9 -> __register_atfork
Symbol_index_and_name: 0x3268 -> setgrent
Symbol_index_and_name: 0x3715 -> sigwait
Symbol_index_and_name: 0x236b -> iswctype_l
Symbol_index_and_name: 0x2025 -> wctrans
Symbol_index_and_name: 0x15db -> _IO_vfprintf
Symbol_index_and_name: 0x1818 -> acct
Symbol_index_and_name: 0x345c -> exit
Symbol_index_and_name: 0x1afb -> htonl
Symbol_index_and_name: 0x34ad -> execl
Symbol_index_and_name: 0x5087 -> re_set_syntax
Symbol_index_and_name: 0x269d -> getprotobynumber_r
Symbol_index_and_name: 0x28bc -> endprotoent
Symbol_index_and_name: 0x4476 -> wordexp
Symbol_index_and_name: 0x1fa0 -> __assert
Symbol_index_and_name: 0x49e6 -> isinf
Symbol_index_and_name: 0x1df0 -> fnmatch
Symbol_index_and_name: 0x24f5 -> clearerr_unlocked
Symbol_index_and_name: 0x25fc -> xdr_keybuf
Symbol_index_and_name: 0x4c44 -> __islower_l
Symbol_index_and_name: 0x4e32 -> gnu_dev_major
Symbol_index_and_name: 0x36d -> htons
Symbol_index_and_name: 0x4379 -> xdr_uint32_t
Symbol_index_and_name: 0x4779 -> readdir
Symbol_index_and_name: 0x433 -> seed48_r
Symbol_index_and_name: 0x234f -> sigrelse
Symbol_index_and_name: 0x2284 -> pathconf
Symbol_index_and_name: 0x293d -> __nss_hostname_digits_dots
Symbol_index_and_name: 0x1ce9 -> execv
Symbol_index_and_name: 0x48d6 -> sprintf
Symbol_index_and_name: 0xce3 -> _IO_putc
Symbol_index_and_name: 0x1cfa -> nfsservctl
Symbol_index_and_name: 0x2a82 -> envz_merge
Symbol_index_and_name: 0x4af7 -> setlocale
Symbol_index_and_name: 0x47c0 -> strftime_l
Symbol_index_and_name: 0x379f -> memfrob
Symbol_index_and_name: 0x1696 -> mbrtowc
Symbol_index_and_name: 0x35d7 -> getutid_r
Symbol_index_and_name: 0x4987 -> srand
Symbol_index_and_name: 0x2cc9 -> iswcntrl_l
Symbol_index_and_name: 0xad6 -> __libc_pthread_init
Symbol_index_and_name: 0xc98 -> iswblank
Symbol_index_and_name: 0x184f -> tr_break
Symbol_index_and_name: 0x477 -> __write
Symbol_index_and_name: 0x220b -> __select
Symbol_index_and_name: 0x2637 -> towlower
Symbol_index_and_name: 0x332e -> __vfwprintf_chk
Symbol_index_and_name: 0x4b90 -> fgetws_unlocked
Symbol_index_and_name: 0x19fd -> ttyname_r
Symbol_index_and_name: 0x2b30 -> fopen
Symbol_index_and_name: 0x2c2b -> gai_strerror
Symbol_index_and_name: 0x3e4 -> wcsncpy
Symbol_index_and_name: 0x4b77 -> fgetspent
Symbol_index_and_name: 0x4cfd -> strsignal
Symbol_index_and_name: 0x14ce -> strncmp
Symbol_index_and_name: 0x3017 -> getnetbyname_r
Symbol_index_and_name: 0x2cb -> svcfd_create
Symbol_index_and_name: 0xb2c -> getprotoent_r
Symbol_index_and_name: 0x3811 -> ftruncate
Symbol_index_and_name: 0x2895 -> xdr_unixcred
Symbol_index_and_name: 0x21a8 -> dcngettext
Symbol_index_and_name: 0x5043 -> xdr_rmtcallres
Symbol_index_and_name: 0x123c -> _IO_puts
Symbol_index_and_name: 0x5c2 -> inet_nsap_addr
Symbol_index_and_name: 0x653 -> inet_aton
Symbol_index_and_name: 0x60 -> wordfree
Symbol_index_and_name: 0x334a -> __rcmd_errstr
Symbol_index_and_name: 0x33b9 -> ttyslot
Symbol_index_and_name: 0x125d -> posix_spawn_file_actions_addclose
Symbol_index_and_name: 0x2b9f -> _IO_unsave_markers
Symbol_index_and_name: 0x38f6 -> getdirentries
Symbol_index_and_name: 0x22b7 -> _IO_default_uflow
Symbol_index_and_name: 0x3af6 -> __wcpcpy_chk
Symbol_index_and_name: 0x4ae4 -> __strtold_internal
Symbol_index_and_name: 0x3049 -> optind
Symbol_index_and_name: 0x521 -> __strcpy_small
Symbol_index_and_name: 0x3b76 -> erand48
Symbol_index_and_name: 0xb46 -> argp_program_version
Symbol_index_and_name: 0x9de -> wcstoul_l
Symbol_index_and_name: 0x4938 -> modify_ldt
Symbol_index_and_name: 0x1eca -> __libc_memalign
Symbol_index_and_name: 0x2538 -> isfdtype
Symbol_index_and_name: 0x15fd -> __strcspn_c1
Symbol_index_and_name: 0x26b0 -> getfsfile
Symbol_index_and_name: 0x29e7 -> __strcspn_c2
Symbol_index_and_name: 0x452e -> lcong48
Symbol_index_and_name: 0x4c6f -> getpwent
Symbol_index_and_name: 0x3e62 -> __strcspn_c3
Symbol_index_and_name: 0x2b45 -> re_match_2
Symbol_index_and_name: 0x802 -> __nss_next2
Symbol_index_and_name: 0x450c -> __free_hook
Symbol_index_and_name: 0x2c14 -> putgrent
Symbol_index_and_name: 0x1c63 -> argz_stringify
Symbol_index_and_name: 0x488e -> getservent_r
Symbol_index_and_name: 0x420b -> open_wmemstream
Symbol_index_and_name: 0x48de -> inet6_opt_append
Symbol_index_and_name: 0x145d -> strrchr
Symbol_index_and_name: 0x3576 -> setservent
Symbol_index_and_name: 0x2e1c -> posix_openpt
Symbol_index_and_name: 0x1912 -> svcerr_systemerr
Symbol_index_and_name: 0x3c20 -> fflush_unlocked
Symbol_index_and_name: 0x171c -> __swprintf_chk
Symbol_index_and_name: 0x5001 -> __isgraph_l
Symbol_index_and_name: 0x72f -> posix_spawnattr_setschedpolicy
Symbol_index_and_name: 0x149f -> setbuffer
Symbol_index_and_name: 0x29c0 -> wait
Symbol_index_and_name: 0x4770 -> vwprintf
Symbol_index_and_name: 0x4e6b -> posix_memalign
Symbol_index_and_name: 0xa2a -> getipv4sourcefilter
